BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	47m 45s	2
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	45m 1s	2
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	45m 29s	2
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (7 genomes)	COMPLETED	7m 12s	2
BGC_ANALYSIS:TABULATE_REGIONS (Erwiniaceae)	COMPLETED	9.7s	1
BGC_ANALYSIS:COUNT_REGIONS (Erwiniaceae)	COMPLETED	10.5s	1
BGC_ANALYSIS:CLUSTERING:BIGSCAPE (Erwiniaceae)	COMPLETED	1m 6s	8
BGC_ANALYSIS:AGGREGATE_TAXONOMY (Aggregating BGC statistics by taxonomy)	COMPLETED	87ms	1
BGC_ANALYSIS:PHYLOGENY:GENBANK_TO_FASTA (100 genomes)	CACHED	24.5s	1
BGC_ANALYSIS:PHYLOGENY:GENBANK_TO_FASTA (99 genomes)	CACHED	25s	1
BGC_ANALYSIS:PHYLOGENY:GENBANK_TO_FASTA (100 genomes)	CACHED	23.3s	1
BGC_ANALYSIS:PHYLOGENY:GTDBTK_CLASSIFY (Erwiniaceae shard 1198869587)	COMPLETED	1h 21m 55s	8
BGC_ANALYSIS:HEADGROUP_PREDICTION (Erwiniaceae)	COMPLETED	1.9s	4
BGC_ANALYSIS:GCF_ANNOTATION_TRANSFER (Erwiniaceae)	COMPLETED	12.6s	4
BGC_ANALYSIS:PEPM_ALL_BY_ALL (Erwiniaceae)	COMPLETED	32.5s	4
BGC_ANALYSIS:CLUSTERING:EXTRACT_GCF_REPRESENTATIVES (Erwiniaceae)	COMPLETED	19.7s	1
BGC_ANALYSIS:CLUSTERING:CLUSTERING_STATS (Erwiniaceae)	COMPLETED	52ms	1
BGC_ANALYSIS:PHYLOGENY:MERGE_GTDBTK (Erwiniaceae)	COMPLETED	30ms	1
BGC_ANALYSIS:COLLECT_VERSIONS (versions)	COMPLETED	8.3s	1
BGC_ANALYSIS:GCF_BIOSYNTHETIC_TREE (Erwiniaceae)	COMPLETED	1m 15s	4
BGC_ANALYSIS:NOVELTY_SCORE (Erwiniaceae)	COMPLETED	166ms	1
BGC_ANALYSIS:VISUALIZE_RESULTS (Erwiniaceae)	COMPLETED	1.6s	4
