genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_ananatis_99-3	JALKLP010000004.1.region001.gbk	29	29	0	phosphonate	phosphonate		2
Pantoea_ananatis_99-31	JALKLF010000010.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_99-31	JALKLF010000062.1.region001.gbk	28	28	0	phosphonate	phosphonate		3
Pantoea_ananatis_99-32	JALKLG010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_99-33	JALKJN010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_99-4	JALKJO010000003.1.region001.gbk	29	29	0	phosphonate	phosphonate		2
Pantoea_ananatis_99-6	JALKKG010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_99-7	JALKLW010000001.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_99-8	JALKKH010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_99-9_2	JALKLX010000012.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_AJ13355	AP012032.2.region001.gbk	11	11	0	phosphonate	phosphonate		1
Pantoea_ananatis_ATCC_35400	JARNMU010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate		4
Pantoea_ananatis_B1-9	CAEI01000109.1.region001.gbk	11	11	0	phosphonate	phosphonate		1
Pantoea_ananatis_B1-9_2	CAEJ01000136.1.region001.gbk	11	11	0	phosphonate	phosphonate		1
Pantoea_ananatis_B13	JAUHJU010000015.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_B7	LYOQ01000033.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_BAV3096	JASHLP010000001.1.region001.gbk	26	26	0	phosphonate	phosphonate		3
Pantoea_ananatis_BAV3096	JASHLP010000011.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
