genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_agglomerans_20PA0330	JBBJRK010000012.1.region001.gbk	38	41	3	phosphonate	phosphonate	2	2
Pantoea_agglomerans_20TX0122	JAKZMS010000010.1.region001.gbk	28	31	3	phosphonate	phosphonate	3	1
Pantoea_agglomerans_20TX0122_2	JBBJRH010000009.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_20TX0124	JBBJRG010000008.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_20TX0125	JBBJRF010000008.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_20UT061	JBBJRA010000013.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_20UT132	JBBJQY010000013.1.region001.gbk	22	26	4	phosphonate	phosphonate	2	2
Pantoea_agglomerans_20WA0188	JBBJQX010000010.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_21CA0223	JBBJQT010000015.1.region001.gbk	24	27	3	phosphonate	phosphonate	2	2
Pantoea_agglomerans_21CO122	JBBJQR010000002.1.region001.gbk	18	18	0	phosphonate	phosphonate	5	4
Pantoea_agglomerans_21GA0608	JBBJQQ010000011.1.region001.gbk	29	32	3	phosphonate	phosphonate	3	1
Pantoea_agglomerans_21NY0253	JBBJQM010000016.1.region001.gbk	37	40	3	phosphonate	phosphonate	2	2
Pantoea_agglomerans_21PA0045	JBBJQK010000011.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_21UT179	JBBJQG010000012.1.region001.gbk	26	28	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_AJ2b	CP134764.1.region001.gbk	37	40	3	hypothetical protein	hypothetical protein	2	2
Pantoea_agglomerans_AR1a	CP059087.1.region001.gbk	36	40	4	hypothetical protein	hypothetical protein	2	2
Pantoea_agglomerans_BD1274-3	JBBJQB010000008.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_BH6c	CP134747.1.region001.gbk	39	42	3	hypothetical protein	hypothetical protein	2	2
Pantoea_agglomerans_C-376	JCAKJO010000002.1.region001.gbk	20	21	1	phosphonate	phosphonate	15	18
Pantoea_agglomerans_CB1	CP084200.1.region001.gbk	36	39	3	hypothetical protein	hypothetical protein	2	2
Pantoea_agglomerans_LMG_2596	JBBJPZ010000017.1.region001.gbk	36	39	3	phosphonate	phosphonate	2	2
Pantoea_agglomerans_PNG_06-1	JBBJPX010000012.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_PNG_06-2	JBBJPW010000003.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_SUH1	CP134727.1.region001.gbk	37	40	3	hypothetical protein	hypothetical protein	2	2
Pantoea_agglomerans_T88c	CP134721.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_agglomerans_subsp._jekyllhydei_SeqCode_AR5	CP134755.1.region001.gbk	29	31	2	phosphonate	phosphonate	3	1
Pantoea_allii_19UT001	JBNUML010000010.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_20TX0020	JAKZMU010000007.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
