genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_ananatis_PANS_99_4	JABDZP010000003.1.region001.gbk	29	29	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_02_12	JABDZS010000006.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_03_1	JABDZT010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_05_1	JABDZV010000007.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_06_4	JABDZW010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_07-1	QICU01000004.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_07-10	QTTO01000005.1.region001.gbk	12	13	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_07_1	JABDZX010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_07_10	JABDZY010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_07_13	JABDZZ010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_07_14	JABEAA010000005.1.region001.gbk	27	27	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_07_5	JABEAC010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_07_7	JABEAD010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_08_1	JABEAE010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_13_1	JABEAG010000006.1.region001.gbk	8	8	0	phosphonate	phosphonate	7	6
Pantoea_ananatis_PNA_15-1	NMZZ01000004.1.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_15_1	JABEAI010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_18_1	JABEAK010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_18_2	JABEAN010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_18_3S	JABEAO010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_18_5	JABEAP010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_18_5S	JABEAQ010000011.1.region001.gbk	10	10	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_18_7S	JABEAS010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_18_9S	JABEAU010000054.1.region001.gbk	4	4	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_200-7	QGGN01000004.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_200_10	JABEAV010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_200_11	JABEAW010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_200_12	JABEAX010000006.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_200_7	JABEAZ010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_92_7	JABEBB010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_97-1R	CP020943.2.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_97_11	JABEBC010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_97_3	JABEBD010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_98-11	QGTO01000003.1.region001.gbk	28	31	3	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_98_2	JABEBH010000003.1.region001.gbk	28	28	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_98_7	JABEBJ010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_98_8	JABEBK010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_99_1	JABEBL010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_99_14	JABEBM010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_99_2	JABEBN010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_99_3	JABEBO010000003.1.region001.gbk	28	28	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_99_6	JABEBP010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_99_7	JABEBQ010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_99_8	JABEBR010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PNA_99_9	JABEBS010000011.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PP094-PanT1S3	JBYHZF010000005.1.region001.gbk	6	8	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_PP099-PanT13S3	JBYHZE010000001.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_PP099-PanT13S3	JBYHZE010000001.1.region002.gbk	10	11	1	phosphonate	phosphonate	6	5
Pantoea_ananatis_PP105	JBYHZO010000002.1.region001.gbk	25	26	1	phosphonate	phosphonate	5	4
Pantoea_ananatis_PP105	JBYHZO010000002.1.region002.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_PaMB1	JQZZ01000144.1.region001.gbk	10	10	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_R100	CP014207.1.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_RP1	CM188849.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_S7	CVNG01000056.1.region001.gbk	15	16	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_SK-1	CM168046.1.region001.gbk	28	30	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_TE32200	JBSSGC010000003.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_ananatis_USHLN198	JBBCYJ010000002.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_USHLN198	JBBCYJ010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_USHLN34	JBBCZL010000001.1.region001.gbk	26	26	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_USHLN34	JBBCZL010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_VY148	CP086009.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_VY148	CP086009.1.region002.gbk	26	27	1	phosphonate	phosphonate	5	4
Pantoea_ananatis_YJ76	CP022427.1.region001.gbk	13	13	0	phosphonate	phosphonate	17	17
Pantoea_sp._AG702	QGTU01000003.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_sp._BS_8	JAVAXU010000005.1.region001.gbk	14	15	1	phosphonate	phosphonate	10	12
Pantoea_sp._E956-1_S3	CEUYZP010000005.1.region001.gbk	21	21	0	phosphonate	phosphonate	8	7
Pantoea_sp._EEL5	JBNDNJ010000002.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_sp._Fr+CA_20	JALNPN010000006.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_sp._OXWO6B1	LWLR01000001.1.region001.gbk	12	13	1	phosphonate	phosphonate	1	8
Pantoea_sp._PA1	JBSSCE010000003.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_sp._PNA_03-3	QICO01000002.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_sp._PNA_14-12	SOAJ01000002.1.region001.gbk	23	23	0	phosphonate	phosphonate	9	3
Pantoea_sp._RCC30.1	JBXUHX010000010.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_sp._S61	JACVUO010000002.1.region001.gbk	22	23	1	phosphonate	phosphonate	14	15
Pantoea_sp._V106_11	JASCAK010000029.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_sp._V108_6	JASCAL010000031.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_sp._nfd-35	CP122403.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_stewartii_C10109_Jinnung	JASCYM010000001.1.region001.gbk	20	20	0	phosphonate	phosphonate	10	12
Pantoea_stewartii_C10109_Jinnung	JASCYM010000012.1.region001.gbk	26	26	0	phosphonate	phosphonate	7	6
Pantoea_stewartii_NC66	JALKTT010000004.1.region001.gbk	10	12	2	phosphonate	phosphonate	6	5
Pantoea_stewartii_UIA44	CM146739.1.region001.gbk	12	12	0	phosphonate	phosphonate	6	5
Pantoea_stewartii_ZJ-FGZX1	CP049115.1.region001.gbk	22	23	1	phosphonate	phosphonate	9	3
Pantoea_stewartii_subsp._indologenes_PNA_14-11	JADWWC010000004.1.region001.gbk	23	23	0	phosphonate	phosphonate	9	3
Pantoea_stewartii_subsp._indologenes_PNA_14-12	JADWWD010000003.1.region001.gbk	23	23	0	phosphonate	phosphonate	9	3
Pantoea_stewartii_subsp._indologenes_PNA_14-9	JADWWB010000005.1.region001.gbk	23	23	0	phosphonate	phosphonate	9	3
Pantoea_stewartii_subsp._indologenes_SJM_1_1	CP160459.1.region001.gbk	13	13	0	phosphonate	phosphonate	6	5
Pantoea_vagans_GM1	CP171468.1.region001.gbk	25	25	0	phosphonate	phosphonate	2	2
Winslowiella_iniecta_B120	JRXE01000010.1.region001.gbk	12	23	11	phosphonate	phosphonate	11	9
Winslowiella_iniecta_B149	JRXF01000012.1.region001.gbk	12	23	11	phosphonate	phosphonate	11	9
uncultured_Pantoea_sp._GCA_902485265.1	CABTKG010000010.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
