task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
67	eb/4d5006	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (7 genomes)	COMPLETED	0	2026-09-22 17:29:11.465	2026-09-22 17:29:11.494	2026-09-22 17:38:54.736	9m 41s	2	6 GB	4.8 GB	8 GB	121.6%	7.5%	133.3 GB	693.2 MB
57	e4/671ea6	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (25 genomes)	COMPLETED	0	2026-09-22 17:29:45.879	2026-09-22 17:29:45.961	2026-09-22 17:51:42.286	21m 54s	2	6 GB	4.8 GB	8.1 GB	118.0%	6.7%	389.8 GB	1.9 GB
58	a4/25e01e	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (25 genomes)	COMPLETED	0	2026-09-22 17:31:17.980	2026-09-22 17:31:19.307	2026-09-22 17:53:08.271	21m 47s	2	6 GB	4.9 GB	7.8 GB	121.4%	8.2%	448.6 GB	1.6 GB
55	81/62c406	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (25 genomes)	COMPLETED	0	2026-09-22 17:30:53.173	2026-09-22 17:30:53.248	2026-09-22 17:54:14.691	23m 19s	2	6 GB	4.8 GB	8 GB	119.9%	8.1%	505.3 GB	1.8 GB
65	33/931d6e	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (25 genomes)	COMPLETED	0	2026-09-22 17:33:25.174	2026-09-22 17:33:25.253	2026-09-22 17:54:42.903	21m 15s	2	6 GB	4.9 GB	8.1 GB	124.5%	6.8%	498.4 GB	1.5 GB
69	f7/8c35bf	BGC_ANALYSIS:TABULATE_REGIONS (Erwiniaceae)	COMPLETED	0	2026-09-22 17:54:43.106	2026-09-22 17:54:43.203	2026-09-22 17:54:53.955	8.8s	1	2 GB	69.5 MB	73.5 MB	109.0%	0.1%	2.3 GB	70.2 KB
68	69/8df2b4	BGC_ANALYSIS:COUNT_REGIONS (Erwiniaceae)	COMPLETED	0	2026-09-22 17:54:43.161	2026-09-22 17:54:43.205	2026-09-22 17:54:54.725	9.5s	1	2 GB	72.2 MB	76 MB	109.0%	0.1%	2.3 GB	43.9 KB
71	4a/f773a7	BGC_ANALYSIS:AGGREGATE_TAXONOMY (Aggregating BGC statistics by taxonomy)	COMPLETED	0	2026-09-22 17:54:54.746	2026-09-22 17:54:54.825	2026-09-22 17:54:56.482	126ms	1	2 GB	15 MB	20.6 MB	109.1%	0.0%	3.6 MB	219.5 KB
74	90/9332c1	BGC_ANALYSIS:PHYLOGENY:GENBANK_TO_FASTA (99 genomes)	COMPLETED	0	2026-09-22 17:54:54.797	2026-09-22 17:54:54.826	2026-09-22 17:55:18.804	22s	1	2 GB	106.7 MB	3.2 GB	106.4%	0.2%	775.1 MB	476.1 MB
73	ce/05d127	BGC_ANALYSIS:PHYLOGENY:GENBANK_TO_FASTA (100 genomes)	COMPLETED	0	2026-09-22 17:54:54.836	2026-09-22 17:54:54.925	2026-09-22 17:55:21.490	24.9s	1	2 GB	107.6 MB	3.2 GB	104.8%	0.2%	810.9 MB	482.5 MB
72	ee/6f8704	BGC_ANALYSIS:PHYLOGENY:GENBANK_TO_FASTA (100 genomes)	COMPLETED	0	2026-09-22 17:54:54.817	2026-09-22 17:54:54.827	2026-09-22 17:55:31.710	35.2s	1	2 GB	107.2 MB	3.2 GB	104.2%	0.2%	1 GB	478.5 MB
70	a6/71bd8a	BGC_ANALYSIS:CLUSTERING:BIGSCAPE (Erwiniaceae)	COMPLETED	0	2026-09-22 17:54:43.200	2026-09-22 17:54:43.206	2026-09-22 17:56:15.029	1m 30s	8	32 GB	16.1 GB	37.6 GB	642.5%	28.0%	2.6 GB	200.7 MB
80	b7/64910e	BGC_ANALYSIS:CLUSTERING:CLUSTERING_STATS (Erwiniaceae)	COMPLETED	0	2026-09-22 17:56:15.071	2026-09-22 17:56:15.131	2026-09-22 17:56:16.461	57ms	1	2 GB	14.1 MB	58 MB	74.1%	0.0%	1.1 MB	983 B
